manufacturer,model,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Mitsubishi,i-MiEV,i-MiEV,49,20.10.2017,145959,28.4,6.6,Electricity,Summer tires,1,0,1,Normal,13.64,0,0,,-1.3599999999999994,"Noch 10 Balken, 50km Reichweite, Batterie 24-31°C, 28,2°C, 61,5%, xxx, 3h geladen (4,5kWh, 80%, RRW 68km), 1,5h geladen (1,2kWh, 90%, RRW 77km), 0,5h geladen (0,9kWh, 99%, RRW 84km),  geladen, Ladeende 17,7°C RRW 96km, Batterie 22-28°C, 24,8°C, 99,0%, 16B"
Mitsubishi,i-MiEV,i-MiEV,49,20.10.2017,145930,6.2,2.6,Electricity,Summer tires,1,1,1,Normal,13.64,0,0,,-1.3599999999999994,"Noch 12 Balken, 73km Reichweite, Batterie 23-31°C, 27,6°C, 73,5%, Ökostrom, 50m geladen, Ladeende 17,7°C RRW 96km, Batterie 24-31°C, 28,3°C, 94,0%, 15B"
Mitsubishi,i-MiEV,i-MiEV,49,20.10.2017,145924,21.8,3.17,Electricity,Summer tires,0,1,1,Fast,13.64,0,0,,-1.3599999999999994,"Noch 8 Balken, 49km Reichweite, Batterie 26-31°C, 28,9°C, 53,0%, Ökostrom, 16m59s geladen, Ladeende 20,3°C RRW 81km, Batterie 20-30°C, 26,4°C, 80,5%, 13B, Autobahn 89km/h"
Mitsubishi,i-MiEV,i-MiEV,49,20.10.2017,145902,78.3,6.0,Electricity,Summer tires,0,1,1,Fast,13.64,0,0,,-1.3599999999999994,"Noch 2 Balken, 11km Reichweite, Batterie 21-25°C, 23,1°C, 19,5%, Ökostrom, 23m12s geladen, Ladeende 18,1°C RRW 70km, Batterie 25-30°C, 27,9°C, 74,0%, 12B, Autobahn 84-89km/h"
Mitsubishi,i-MiEV,i-MiEV,49,19.10.2017,145824,48.3,5.96,Electricity,Summer tires,1,0,1,Normal,12.34,0,0,,-2.66,"Noch 8 Balken, 55km Reichweite, Mainova Ökostrom Novanatur, 4,5h geladen, Ladeende 12,2°C, RRW 111km, Batterie 19-22°C, 20,0°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,18.10.2017,145776,48.1,6.08,Electricity,Summer tires,1,0,1,Normal,12.64,0,0,,-2.3599999999999994,"Noch 8 Balken, 53km Reichweite, Mainova Ökostrom Novanatur, 5h geladen, Ladeende 9,4°C, RRW 111km, Batterie 18-22°C, 19,7°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,17.10.2017,145727,47.0,5.97,Electricity,Summer tires,1,0,1,Normal,12.7,0,0,,-2.3000000000000007,"Noch 8 Balken, 51km Reichweite, Mainova Ökostrom Novanatur, 4h geladen, Ladeende 11,0°C, RRW 102km, Batterie 19-24°C, 20,7°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,17.10.2017,145680,57.2,7.7,Electricity,Summer tires,1,0,1,Normal,12.37,0,1,,-2.630000000000001,"Noch 6B, 38km Reichweite, Batterie 19-22°C, 20,5°C, 40,5%, Solarstrom P&amp;C, 4,25h geladen, Ladeende 10,8°C, RRW 111km, Batterie 20-24°C, 21,8°C, 100%, 24.2. 26. 27. 28.2. 1.3. 2.3. 20.5. 22. 23. 28. 30.5. 6.9. 17. 18. 20.9. 2.10. 9.10. 16.10."
Mitsubishi,i-MiEV,i-MiEV,49,16.10.2017,145623,64.6,10.32,Electricity,Summer tires,0,1,1,Moderate,12.37,0,1,,-2.630000000000001,"Noch 1 Balken, 4km Reichweite, Batterie 23-34°C, 30,0°C, 13,0%, Mainova Ökostrom Novanatur, 7h geladen, Ladeabbruch, Ladeende 10,5°C, RRW 101km, Batterie 18-26°C, 23,0°C, 92,5%, teilweise Heizung Stufe 1 wg. Frontscheibe, Autobahn 70-80km/h Nebel"
Mitsubishi,i-MiEV,i-MiEV,49,15.10.2017,145559,65.0,5.09,Electricity,Summer tires,0,1,1,Normal,12.37,0,0,,-2.630000000000001,"Noch 4 Balken, 28km Reichweite, Batterie 23-33°C, 29,4°C, 32,5%, Ökostrom, 22m3s geladen, Ladeende 11,8°C RRW 83km, Batterie 20-33°C, 27,2°C, 78,0%, 13B"
